[Test worker] 00:24:35.738 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [pl.milk.aggregator.AggregatorApplicationTests], using SpringBootContextLoader
[Test worker] 00:24:35.747 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [pl.milk.aggregator.AggregatorApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[Test worker] 00:24:35.748 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.milk.aggregator.AggregatorApplicationTests]: AggregatorApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[Test worker] 00:24:35.954 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.milk.aggregator.AggregatorApplication for test class pl.milk.aggregator.AggregatorApplicationTests
[Test worker] 00:24:36.080 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[Test worker] 00:24:36.102 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1d46de9b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7cbdb366, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@d869386, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7f4403f3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@545da886, org.springframework.test.context.transaction.TransactionalTestExecutionListener@45ea07e8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7cc9a670, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@234d7981, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@1aedfcf6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@fad7d04, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3ee6a0a7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@762f478b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3d01ff4, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@67f107d7]
[Test worker] 16:38:37.524 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [pl.milk.aggregator.AggregatorApplicationTests], using SpringBootContextLoader
[Test worker] 16:38:37.533 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [pl.milk.aggregator.AggregatorApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[Test worker] 16:38:37.534 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.milk.aggregator.AggregatorApplicationTests]: AggregatorApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[Test worker] 16:38:37.741 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.milk.aggregator.AggregatorApplication for test class pl.milk.aggregator.AggregatorApplicationTests
[Test worker] 16:38:37.865 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[Test worker] 16:38:37.892 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@38a6d51e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5fb073e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7d8ec68e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5eb025ec, org.springframework.test.context.support.DirtiesContextTestExecutionListener@50b01501, org.springframework.test.context.transaction.TransactionalTestExecutionListener@daf3ade, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@61e3753, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@59deed39, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@996e31e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7d9b5138, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@ac85577, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24d1d632, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1ae14fa5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3d54df50]
